"1st decision-2nd decision-3rd decision-4th decision-5th decision-6th decision-7th decision-8th decision-9th decision-10th decision -11th decision-12th decision-13th decision-14th decision-15th decision-16th decision 
",number o participants
task lamp on-ceiling lamp off-task lamp on-desk fan on-0-0-0-0-0-0-0-0-0-0-0-0,1
task lamp on-blinds >50% open-desk fan on-ceiling lamp on-thermostat off-0-0-0-0-0-0-0-0-0-0-0,1
task lamp on-ceiling lamp on-blinds <50% open-desk fan on-heater off-thermostat on-desk fan off-thermostat off-task lamp on-0-0-0-0-0-0-0-end,1
heater on-ceiling lamp on-blinds >50% open-0-0-0-0-0-0-0-0-0-0-0-0-0,1
heater on-blinds >50% open-heater off-0-0-0-0-0-0-0-0-0-0-0-0-0,1
heater on-desk fan on-heater off-blinds >50% open-ceiling lamp on-blinds =50% open-0-0-0-0-0-0-0-0-0-0,1
heater on-task lamp on-ceiling lamp on-thermostat on-ceiling lamp on-desk fan on-ceiling lamp on-heater off-thermostat off-desk fan off-task lamp on-ceiling lamp off-0-0-0-0-end,1
desk fan on-desk fan off-task lamp on-blinds <50% open-ceiling lamp on-0-0-0-0-0-0-0-0-0-0-0,1
desk fan on-blinds >50% open-ceiling lamp on-0-0-0-0-0-0-0-0-0-0-0-0-0,1
desk fan on-ceiling lamp on-desk fan off-ceiling lamp on-blinds >50% open-task lamp on-ceiling lamp off-desk fan off-task lamp on-blinds >50% open-ceiling lamp on-desk fan on-blinds >50% open-blinds >50% open-desk fan off-0,1
desk fan on-task lamp on-blinds >50% open-thermostat off-0-0-0-0-0-0-0-0-0-0-0-0,1
desk fan on-task lamp on-ceiling lamp on-0-0-0-0-0-0-0-0-0-0-0-0-0,1
desk fan on-task lamp on-ceiling lamp off-task lamp off-blinds =50% open-ceiling lamp off-desk fan off-0-0-0-0-0-0-0-0-0,1
desk fan on-heater on-blinds <50% open-task lamp on-ceiling lamp on-ceiling lamp off-task lamp off-thermostat on-0-0-0-0-0-0-0-0,1
desk fan on-ceiling lamp on-blinds >50% open-0-0-0-0-0-0-0-0-0-0-0-0-0,1
desk fan on-blinds >50% open-0-0-0-0-0-0-0-0-0-0-0-0-0-0,1
desk fan on-ceiling lamp on-task lamp on-ceiling lamp on-blinds >50% open-0-0-0-0-0-0-0-0-0-0-0,1
desk fan on-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-end,1
desk fan off-blinds >50% open-0-0-0-0-0-0-0-0-0-0-0-0-0-0-end,1
ceiling lamp on-ceiling lamp off-task lamp on-blinds <50% open-ceiling lamp on-0-0-0-0-0-0-0-0-0-0-0,1
ceiling lamp on-task lamp on-blinds >50% open-0-0-0-0-0-0-0-0-0-0-0-0-0,2
ceiling lamp on-heater off-desk fan on-blinds >50% open-ceiling lamp off-task lamp on-thermostat on-thermostat off-desk fan on-0-0-0-0-0-0-0,1
ceiling lamp on-heater on-desk fan off-desk fan on-task lamp on-ceiling lamp on-0-0-0-0-0-0-0-0-0-0,1
ceiling lamp on-blinds <50% open-desk fan on-thermostat on-desk fan off-0-0-0-0-0-0-0-0-0-0-0,1
ceiling lamp on-thermostat off-desk fan on-0-0-0-0-0-0-0-0-0-0-0-0-0,1
ceiling lamp on-desk fan on-ceiling lamp on-0-0-0-0-0-0-0-0-0-0-0-0-0,1
ceiling lamp on-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-end,1
ceiling lamp off-blinds <50% open-desk fan off-ceiling lamp on-heater on-heater off-thermostat off-blinds =50% open-ceiling lamp on-desk fan off-0-0-0-0-0-0-end,1
blinds >50% open-ceiling lamp on-thermostat off-desk fan on-ceiling lamp on-desk fan off-task lamp off-0-0-0-0-0-0-0-0-0,1
blinds >50% open-thermostat on-thermostat off-ceiling lamp on-0-0-0-0-0-0-0-0-0-0-0-0,1
blinds >50% open-task lamp on-ceiling lamp on-desk fan on-blinds <50% open-blinds >50% open-0-0-0-0-0-0-0-0-0-0,1
blinds >50% open-heater on-thermostat on-blinds >50% open-thermostat off-ceiling lamp on-desk fan off-0-0-0-0-0-0-0-0-0,1
blinds >50% open-ceiling lamp on-0-0-0-0-0-0-0-0-0-0-0-0-0-0-end,1
blinds =50% open-desk fan off-ceiling lamp on-0-0-0-0-0-0-0-0-0-0-0-0-0-end,1
blinds <50% open-ceiling lamp on-heater on-task lamp on-desk fan on-0-0-0-0-0-0-0-0-0-0-0,1
blinds <50% open-ceiling lamp off-task lamp on-blinds >50% open-task lamp off-ceiling lamp on-task lamp on-desk fan off-heater off-thermostat off-0-0-0-0-0-0,1
blinds <50% open-thermostat on-ceiling lamp on-task lamp off-ceiling lamp off-thermostat off-ceiling lamp on-task lamp on-0-0-0-0-0-0-0-0,1
blinds <50% open-desk fan off-task lamp off-blinds <50% open-0-0-0-0-0-0-0-0-0-0-0-0-end,1
thermostat on-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-end,1
thermostat off-blinds >50% open-0-0-0-0-0-0-0-0-0-0-0-0-0-0-end,1
0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-end,4
